Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,27680,29527,2022-04-20 21:24:34 EDT,44671,0.892060185,Link,294,121,89,7,5,5,60,0,7,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/3024032377927267,PRIME Minister Manasseh Sogavare says the controversial security treaty with China will be made public after further consultations with Beijing.,https://theislandsun.com.sb/?p=40264,https://theislandsun.com.sb/sogavare-promises-to-disclose-china-security-treaty/,,Sogavare promises to disclose China security treaty,BY JENNIFFER KUSAPA PRIME Minister Manasseh Sogavare says the controversial security treaty with China will be made public after further consultations with Beijing. Sogavare stated this when…,,,,294,1.56
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,50555,68966,2022-08-17 04:09:25 EDT,44790,0.173206019,Photo,294,150,80,11,23,17,4,5,2,2,,-,0,0,0,N/A,https://www.facebook.com/100063890896080/posts/450787730394253,"𝐍𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐁𝐫𝐨𝐚𝐝𝐛𝐚𝐧𝐝 𝐈𝐧𝐟𝐫𝐚𝐬𝐭𝐫𝐮𝐜𝐭𝐮𝐫𝐞 𝐏𝐫𝐨𝐣𝐞𝐜𝐭 𝐏𝐫𝐨𝐠𝐫𝐞𝐬𝐬𝐞𝐬 The Government today has confirmed that the Solomon Islands National Broadband Infrastructure Project or SINBIP for the construction of up to 161 towers has been progressed with the recent signing of a contracting agreement with the vendor and contractor, Huawei/China Harbour Engineering Company Limited. Read more here: https://www.sibconline.com.sb/?p=52350:=:https://www.sibconline.com.sb/proposed-161-towers-project-progresses/",https://www.facebook.com/photo.php?fbid=450787443727615&set=a.312578114215216&type=3,,Choiseul Pacific Ocean Gizo Santa Isabel Buala New Georgia Islands Auki SOLOMON ISLANDS Tułagi Honiara Malaita Solomon Sea Mt.Popomaneseu2335 Guadalcanal Kirakira Makira Lata Rennell Island Santa Cruz Islands っ,,,,,,294,-1.12
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,18563,19422,2020-08-17 00:53:32 EDT,44060,0.037175926,Status,293,95,104,13,1,22,28,15,15,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2573469542983555,"Government comes out with new reason for China flight BY MAVIS NISHIMURA PODOKOLO GOVERNMENT has come up with another reason to explain its controversial plan to send a direct flight to China to bring over Chinese nationals and Chinese with Solomons passport. Now Government says the proposed flight to China is aimed at giving back the so-called stranded Solomon Islands nationals in China their constitutional rights. Speaking at a public forum on Friday last week, Dr Jimmie Rodgers, Secretary to the Prime Minister, gave this response to a question on “Why China?” “The reason to going there is to give them their constitutional rights,” said Mr Rodgers. “China is guilty of where virus has started from, [but] right now China is one of the safest countries. The risk now is Philippines. This country is 100 times riskier than China. “So why China? The questioned is why Philippines we have 53 nationals in China are waiting repatriation so this why we are looking at making sure that they are repatriated and every country 750 will be coming back and 53 in China have the same constitutional right as you and I for the government’s protection “I will say this because I have been hit hard on why China, let’s be very clear we assessed the risk and any one coming in from any country has to have a clear assessment on health and any one boarding the plane must have negative test whether its China , Indonesia, UK or Australia or wherever no exception no one steps in the Plane unless they fulfill our procedures,” said Rodgers. This fresh excuse, coupled with their previous claim that it is much safer in China than anywhere else our citizens are stranded in, Government says justifies the proposed China-flight. This latest ‘reason’ only adds salt to wound on students stranded in the Philippines and their families who have been pleading with government since the early months of covid-19’s wake for their repatriation. Government has since then been unenthusiastic in answering their calls, only recently announcing that some plans are in the pipeline for their repatriation. [Yesterday, government announced during the weekly radio talkback show that repatriation flights have been arranged for students in the Philippines for September 15, 18 and October 22]. Transparency Solomon Islands (TSI) recently revealed that the so-called Solomon Islands nationals stranded in China which Government is so keen to bring over are in fact Chinese who have attained Solomons passports. TSI also called on government to release to public a list of these so-called stranded Solomons citizens. Government has since been silent.",,,,,,,,,293,3.18
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,53002,71226,2022-12-30 00:21:08 EST,44925,0.014675926,Photo,293,212,31,5,37,0,3,0,0,5,,-,0,0,0,N/A,https://www.facebook.com/100063890896080/posts/557434639729561,"𝐏𝐌 𝐒𝐨𝐠𝐚𝐯𝐚𝐫𝐞 𝐭𝐚𝐤𝐞𝐬 𝐬𝐡𝐨𝐫𝐭 𝐛𝐫𝐞𝐚𝐤 𝐟𝐫𝐨𝐦 𝐧𝐚𝐭𝐢𝐨𝐧𝐚𝐥 𝐝𝐮𝐭𝐢𝐞𝐬 Prime Minister Hon. Manasseh Sogavare is taking a two week break from national duties, effective 29th December. Prime Minister Sogavare will resume duty on the 12th of January of 2023. The Prime Minister left for his home village in Kumanibai in East Choiseul, Choiseul Province yesterday. Prior to his departure, PM Sogavare had engaged in two important occasions namely the dedication of the Seventh Day Adventist Church at Sukiki, East Guadalcanal and paying final respect to the country’s ambassador to the Peoples’ Republic of China (PRC) the late John Moffat Fugui. It is customary of Prime Ministers to take a break from national duty but not for the usual 28 days as applied to public servants. Given the importance of ensuring leadership continuity, PMs often take shorter breaks and PM Sogavare is no different. During his absence the Deputy Prime Minister Hon. Manasseh Maelanga will be the supervising Prime Minister. End/// Prime Minister’s Press Secretariat",https://www.facebook.com/photo.php?fbid=557434373062921&set=a.312578114215216&type=3,,,,,,,,293,1.44
The Fiji Times,thefijitimes,1.00065E+14,TOPIC_NEWSPAPER,FJ,"The Fiji Times newspaper company based in Suva, Fiji.
""YOUR VOICE Since 1869""",39461.20764,229968,317377,2022-02-22 08:30:49 EST,44614,0.354733796,Link,293,224,0,14,8,38,6,1,2,0,,-,0,0,0,N/A,https://www.facebook.com/7130088677/posts/10160134408748678,"#WorldNews - Australian Prime Minister Scott Morrison said an Australian surveillance plane was doing its job when it was “put under threat” with a laser from a Chinese navy ship, rejecting Beijing’s assertion the plane came too close. #AustralianSurveillancePlane #TimesWorldNews",https://www.fijitimes.com/australia-plane-had-right-to-watch-china-navy-vessel-in-its-waters-pm-morrison/,,,Australia plane had ‘right’ to watch China navy vessel in its waters -PM Morrison,"Australian Prime Minister Scott Morrison speaks to the media at Melbourne Commonwealth Parliament Office, in Melbourne, Australia February 11, 2022. Darrian Traynor/Pool via REUTERS",,,,293,4.19
Solomon Star News,solomonstarnews,1.0005E+14,MEDIA_NEWS_COMPANY,AU,"Welcome to the Solomon Islands official news portal where we publish news, events and stories for ou",42137.275,42306,46149,2022-08-21 23:08:34 EDT,44794,0.964282407,Link,292,135,79,9,9,30,21,7,1,1,,-,0,0,0,N/A,https://www.facebook.com/894839290582361/posts/5581211085278468,"The SI Government has confirmed that the Solomon Islands National Broadband Infrastructure Project or SINBIP for the construction of up to 161 towers has been progressed with the recent signing of a contracting agreement with the vendor and contractor, Huawei/China Harbour Engineering Company Limited.",https://www.solomonstarnews.com/proposed-161-towers-project-progressed/,,,PROPOSED 161 TOWERS PROJECT PROGRESSED,"The SI Government has confirmed that the Solomon Islands National Broadband Infrastructure Project or SINBIP for the construction of up to 161 towers has been progressed with the recent signing of a contracting agreement with the vendor and contractor, Huawei/China Harbour Engineering Company Limite...",,,,292,1.11
EMTV Online,EMTVonline,8.74725E+14,MEDIA_NEWS_COMPANY,PG,"Tweet us: https://twitter.com/EMTVOnline
Insta https://instagram.com/emtvonline/
",41927.95139,167234,244376,2021-11-28 22:17:10 EST,44528,0.928587963,YouTube,291,96,76,29,4,32,14,4,36,0,,-,0,0,0,N/A,https://www.facebook.com/874724655878768/posts/6777368648947643,#Video: Chinese Government gives additional K1.2 Million to PNG as Covid-19 Grant Assistance Video Link: https://youtu.be/faip6tiCVMQ:=:https://www.youtube.com/watch?v=faip6tiCVMQ&feature=youtu.be,https://youtu.be/faip6tiCVMQ,https://www.youtube.com/watch?v=faip6tiCVMQ&feature=youtu.be,,China K1.2 Mil Covid Aid,The Chinese government recently gave K1.2million to Papua New Guinea for the purposes of combating covid19 in the country.On the occasion of the handover cer...,,,,291,4.41
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,23096,23833,2021-04-28 20:42:54 EDT,44314,0.863125,Photo,289,148,83,7,6,6,39,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2772772189719955,"NO POLITICS IN PARADISE China has no part in Mamara project: Ling BY PETER ZOLEVEKE II The Metropolis Mamara Development Limited has no link with the Chinese government and is a ‘private company’, says General Manager William Ling this week. READ MORE: https://theislandsun.com.sb/no-politics-in-paradise/",https://www.facebook.com/theIslandSunNews/photos/a.1969037396760109/2772771983053309/?type=3,,,Photos from The Island Sun News's post,,,,,289,1.76
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,N/A,N/A,2019-11-25 18:58:34 EST,43794,0.790671296,Status,147,110,17,8,6,5,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2345614969102348,"SIPA TAKES DELIVERY OF A $16 MILLION X-RAY By Alfred Sasako SOLOMON Islands Ports Authority (SIPA) trading as Solomon Ports yesterday took delivery of a $16 million X-Ray machine, which is certain to save it and the Government hundreds of millions of dollars in lost revenue. The top-of-the range machine arrived in Honiara yesterday. It was manufactured in China. Solomon Ports’ workers and Chinese engineers yesterday wasted no time in getting the machine off the container ship at the Point Cruz wharf yesterday. Prime Minister Manasseh Sogavare will officially commission the X-Ray machine between the 8th and 15th December this year. It is understood Solomon Ports decided to buy the machine after increasing incidents of false declarations on in-coming and outgoing oversea cargoes. False declarations cost Customs and Solomon Ports hundreds of millions of dollars each year. Now there is a warning out to those engaged in false declarations in the past to watch out as the X-ray is capable of picking up everything in a container for example. The machine has a robotic arm which would be used to scan containers before the cargo leaves the Ports Area. The machine (PICTURED) stands 4.6m above the ground and has a control room described as a mini coffee shop, big enough to accommodate four people. In acquiring the machine, Solomon Ports now joins Papua New Guinea, Fiji, Vanuatu and Samoa in owning an X-Ray machine.",,,,,,,,,147,1.6
Solomon Star News,solomonstarnews,1.0005E+14,MEDIA_NEWS_COMPANY,AU,"Welcome to the Solomon Islands official news portal where we publish news, events and stories for ou",42137.275,40185,43095,2022-02-20 00:27:37 EST,44612,0.019178241,Link,289,187,35,5,46,10,5,0,0,1,,-,0,0,0,N/A,https://www.facebook.com/894839290582361/posts/5071873936212188,"AS the debate rages over who is and who is not genuine in its infrastructure development effort in Solomon Islands, China simply keeps piling it in. And to maintain its international reputation that it is a major donor with a heart to help, a Chinese PLA Airforce Y-20 transport plane carrying anti-epidemic supplies landed at Henderson International Airport in Honiara last Friday afternoon. Chinese Ambassador to Solomon Islands Li Ming and Solomon Islands Minister of Health and Medical Services Culwick Togamana were at the airport to receive the life-saving medical supplies from China. Anti-epidemic supplies, including test kits and oxygen generators weighing over 20 tons arrived onboard the flight intended to fight a growing number of COVID-19 cases, another severe challenge following the unrest that took place in November last year. The supplies were delivered by a Chinese PLA Air Force Y-20 transport aircraft. The supplies include 320,000 test kits, 20 oxygen-making machines, 20 oximeters, 180,000 pairs of gloves, 20,000 pairs of goggles, 10,000 protective suits, 100 foldable beds and 70 tents. Read more...",https://www.solomonstarnews.com/china-full-on/,,,CHINA FULL ON,"PRC airlifts more supplies to tackle Covid-19 outbreak here   AS the debate rages over who is and who is not genuine in its infrastructure development effort in Solomon Islands, China simply keeps piling it in. And to maintain its international reputation that it is a major donor with a heart to he...",,,,289,1
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,197252,204442,2020-03-24 03:00:57 EDT,43914,0.125659722,Link,289,231,8,39,7,3,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2979230558795870,"Wuhan, the epicenter of the coronavirus outbreak, is now making preparations for restoring the operation of its public transportation.",https://fijisun.com.fj/?p=501811,https://fijisun.com.fj/2020/03/24/wuhan-prepares-to-restore-operation-of-public-transportation/,,Wuhan Prepares To Restore Operation Of Public Transportation,"The public need to go through real-name registration for taking public transportation or taxis in Wuhan, capital of central China's Hubei Province, authorities said Sunday....",,,,289,-1.61
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,24181,25143,2021-08-30 22:33:56 EDT,44438,0.940231481,Link,288,159,58,19,4,21,26,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2860094334321073,ISABEL Province last week engaged in an online dialogue with Shandong province of China.,https://theislandsun.com.sb/?p=36659,https://theislandsun.com.sb/isabel-holds-online-meet-with-shandong-province-of-china/,,Isabel holds online meet with Shandong Province of China,ISABEL Province last week engaged in an online dialogue with Shandong province of China. The event was conducted at the Chinese Embassy in Honiara. In attendance were Premier Leslie Kikolo…,,,,288,1.52
Solomon Star News,solomonstarnews,1.0005E+14,MEDIA_NEWS_COMPANY,AU,"Welcome to the Solomon Islands official news portal where we publish news, events and stories for ou",42137.275,41173,44368,2022-04-04 02:38:42 EDT,44655,0.110208333,Link,288,89,85,9,1,59,4,33,7,1,,-,0,0,0,N/A,https://www.facebook.com/894839290582361/posts/5190859470980300,"OPPOSITION Leader Hon Matthew Wale has described sarcastic climate change comments by a government minister on social media as insensitive and shameful. This followed a news article published on social media recently, which carried the President of the Federated Stated of Micronesia David W Panuelo’s letter to Prime Minister Manasseh Sogavare raising concerns on the proposed security treaty with China. The Police Minster Hon Anthony Veke made sarcastic comments on social media that the president of FSM ‘should be worrying about your atoll about to be swallowed by the ocean due to climate change. That’s your real threat! Period!’",https://www.solomonstarnews.com/ministers-social-media-remarks-on-climate-change-shameful-wale/,,,Minister’s social media remarks on climate change ‘shameful’: Wale,"OPPOSITION Leader Hon Matthew Wale has described sarcastic climate change comments by a government minister on social media as insensitive and shameful. This followed a news article published on social media recently, which carried the President of the Federated Stated of Micronesia David W Panuelo....",,,,288,1.09
Post Courier,South.Pacific.Post,1.00064E+14,MEDIA_NEWS_COMPANY,PG,"Editor Matthew Vari Ph: +675 309 1054 E: mvari@spp.com.pg
Troy Taule  Digital Editor Ph: +675 3091116",41303.07083,92469,136445,2023-01-29 22:00:01 EST,44955,0.916678241,Link,288,147,33,21,10,51,4,3,17,2,,-,0,0,0,N/A,https://www.facebook.com/195574833918434/posts/2607580222717871,"Food Union Limited, a business operating in Port Moresby, will be charged and penalised for illegally importing 740 kilograms of the banned chicken cocktails from China. Click on the link to read more: https://postcourier.com.pg/authority-seizes-740kg-of-banned-cocktails/",https://postcourier.com.pg/authority-seizes-740kg-of-banned-cocktails/,,,Authority seizes 740kg of banned cocktails,"Food Union Limited, a business operating in Port Moresby, will be charged and penalised for illegally importing 740 kilograms of the banned chicken cocktails from China.",,,,288,1.77
Post Courier,South.Pacific.Post,1.00064E+14,MEDIA_NEWS_COMPANY,PG,"Editor Matthew Vari Ph: +675 309 1054 E: mvari@spp.com.pg
Troy Taule  Digital Editor Ph: +675 3091116",41303.07083,66957,83817,2022-02-04 00:00:01 EST,44596,1.15741E-05,Link,288,191,20,16,9,2,46,0,2,2,,-,0,0,0,N/A,https://www.facebook.com/195574833918434/posts/2296316543844242,"Before departing for China, Prime Minister James Marape officially made the announcement at Jackson’s International Airport with Mr Basil.",https://postcourier.com.pg/basil-is-acting-prime-minister/,,,Basil is acting Prime Minister,Deputy Prime Minister and Bulolo MP Sam Basil will be acting Prime Minister for the next two weeks.,,,,288,1.76
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,23797,24564,2021-05-21 22:25:16 EDT,44337,0.934212963,Link,287,167,48,8,9,11,40,0,0,4,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2788876768109497,CHINA Harbor Engineering Company (CHEC) will never be accepted in Malaita.,https://theislandsun.com.sb/?p=33990,https://theislandsun.com.sb/mala-takes-stand/,,MALA TAKES STAND,BY SAMIE WAIKORI Auki CHINA Harbor Engineering Company (CHEC) will never be accepted in Malaita. That’s the decision the provincial executive reached yesterday after CHEC was recently announced as the…,,,,287,1.52
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,46701,64986,2022-03-25 08:06:12 EDT,44645,0.337638889,Photo,287,202,48,4,21,2,5,3,0,2,,-,0,0,0,N/A,https://www.facebook.com/100063890896080/posts/352172913589069,"𝐖𝐚𝐥𝐞: 𝐏𝐫𝐨𝐩𝐨𝐬𝐞𝐝 𝐬𝐞𝐜𝐮𝐫𝐢𝐭𝐲 𝐌𝐎𝐔 𝐰𝐢𝐭𝐡 𝐂𝐡𝐢𝐧𝐚 𝐢𝐧𝐬𝐞𝐧𝐬𝐢𝐭𝐢𝐯𝐞 OPPOSITION Leader Hon Matthew Wale says the Government’s proposed security cooperation with China reflects their no-care attitude and insensitivity. In a statement today, Hon Wale said what the Prime Minister and his Government is doing is pushing people’s tolerance to their limit by being insensitive to their views. Read More➡ https://www.sibconline.com.sb/wale-proposed-security-mou-with-china-insensitive/",https://www.facebook.com/photo.php?fbid=352172603589100&set=a.312578114215216&type=3,,""" Clearly the issue of China is still an unsettled situation in our country because ofthe geopolitics involved. Yet the PM seems bent on aggravating this situation as reflected in this draft MATTHEW WALE, MP Opposition Leader SIBCONLINE.COM @SIBCNEWS",,,,,,287,-1.01
Solomon Star News,solomonstarnews,1.0005E+14,MEDIA_NEWS_COMPANY,AU,"Welcome to the Solomon Islands official news portal where we publish news, events and stories for ou",42137.275,30627,32070,2021-05-04 17:25:52 EDT,44320,0.726296296,Photo,286,214,34,7,11,16,1,0,1,2,,-,0,0,0,N/A,https://www.facebook.com/894839290582361/posts/4129163853816539,"The stage is set for the historic groundbreaking ceremony for the start of the construction of the new national stadium at the King George the Sixth grounds in East Honiara. Prime Minister Manasseh Sogavare and the Peoples Republic of China (PRC) Ambassador, His Excellency Li Ming will officiate in the important ceremony this morning. [Photo: Floyd Terry]",https://www.facebook.com/solomonstarnews/photos/a.936292946436995/4129161400483451/?type=3,,,,,,,,286,-1.18
FBC News,fijibroadcastingcorporation.news,1.0007E+14,BROADCASTING_MEDIA_PRODUCTION,FJ,Official FB page for Fiji's leading news broadcaster under the Fiji Broadcasting Corporation.'LIVE' ,41801.11042,113773,116127,2019-01-06 22:26:19 EST,43471,0.93494213,Link,283,236,1,17,0,17,10,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/527987560656455/posts/1845805598874638,The goods were shipped from China and was consigned to a newly established family supermarket. #FijiNews #FBCNews #Fiji #FRCS,https://www.fbcnews.com.fj/news/crime/customs-officers-intercept-smuggled-items/,,,Customs officers intercept smuggled items,"Crime Customs officers intercept smuggled items Praneeta Prakash Multimedia Journalist [email protected] | @PraneetaFBCNews January 7, 2019 3:55 pm Visvanath Das More than $18,000 worth of goods have been intercepted by officers from the Fiji Revenue and Customs Services last week. Chief Executive ...",,,,283,1.64
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,N/A,N/A,2018-10-11 01:54:55 EDT,43384,0.079803241,Link,282,195,8,27,14,36,2,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2063591093971405,,http://theislandsun.com.sb/solomon-students-now-free-to-work-in-taiwan-after-studies/,https://theislandsun.com.sb/solomon-students-now-free-to-work-in-taiwan-after-studies/,,Solomon students now free to work in Taiwan after studies - The Islandsun Daily News,BY LYNTON AARON FILIA THE Republic of China (Taiwan) has opened a new opportunity for Solomon Islands scholars to live and work in Taiwan. His...,,,,282,1.49
FBC News,fijibroadcastingcorporation.news,1.0007E+14,BROADCASTING_MEDIA_PRODUCTION,FJ,Official FB page for Fiji's leading news broadcaster under the Fiji Broadcasting Corporation.'LIVE' ,41801.11042,237933,274236,2021-07-20 19:16:36 EDT,44397,0.803194444,Link,281,170,27,18,1,31,2,32,0,0,,-,0,0,0,N/A,https://www.facebook.com/527987560656455/posts/3950379455083898,"Torrential rain has caused severe flooding in parts of central #China, forcing people from their homes and leaving stations and roads submerged. #Flood #WorldNews",https://www.fbcnews.com.fj/world/thousands-evacuated-as-deadly-floods-hit-china/,,,Thousands evacuated as deadly floods hit China,"World Thousands evacuated as deadly floods hit China | @BBCWorld July 21, 2021 11:14 am [Source: BBC] Torrential rain has caused severe flooding in parts of central China, forcing people from their homes and leaving stations and roads submerged. More than 10,000 people in Henan province have been ev...",,,,281,1.62
Solomon Star News,solomonstarnews,1.0005E+14,MEDIA_NEWS_COMPANY,AU,"Welcome to the Solomon Islands official news portal where we publish news, events and stories for ou",42137.275,18096,18562,2019-10-22 18:36:41 EDT,43760,0.775474537,Link,281,187,29,26,0,23,13,2,1,0,,-,0,0,0,N/A,https://www.facebook.com/894839290582361/posts/2623134177752855,"Gold Ridge mine in central Guadalcanal is set to reopen with a historic ground-breaking this Saturday. Now called Gold Ridge Mine Development Project (GRMDP), it’s a partnership between Chinese investors and local landowners. GRMDP is expected to announce during the ceremony a construction contract between Gold Ridge Mining Limited (GRML) and China Railway.",https://bit.ly/GRMDP_,http://www.solomonstarnews.com/index.php/news/national/item/22198-gold-ridge-ground-breaking-saturday,,"Gold Ridge ground-breaking, Saturday - Solomon Star News",Solomon Star National News,,,,281,-1.07
The Island Sun News,theIslandSunNews,1.00064E+14,MEDIA_NEWS_COMPANY,SB,Island Sun is the leading daily newspaper in the Solomon Islands. This is our official Facebook page.,43117.00903,N/A,N/A,2019-11-17 19:03:24 EST,43786,0.794027778,Status,280,151,100,10,4,3,10,1,1,0,,-,0,0,0,N/A,https://www.facebook.com/1887971264866723/posts/2337945453202633,"KAIBAR FACES TERMINATION BY ALFRED PAGEPITU The Honiara City Council (HCC) is considering an option to terminate the business license of the Chinese restaurant YC Kaibar. The Kaibar which situated at China town was closed down for indefinite period for allegedly using drain water for cooking its menu and washing. City Clerk Rence Sore in an updated interview with Island Sun yesterday said YC Kaibar was close down for an indefinite period while investigation proceed. He said pending on the results of their investigation, HCC is considering an option to terminate YC Kaibar business license. The Kaibar after been closed down has repainted the building from yellow to grey color. The reason behind the change of color is uncertain but it was believe the owner is trying to restore the image of the Kaibar. “Yesterday, I drove passed the Kaibar, it was repainted in grey color on the outside but if the inner part remains unchanged, HCC will not be lenient to the restaurant owner.” “HCC will monitor every restaurants in the city, both Chinese and locally owned. He said they will not announce when to carry out monitoring on local and Chinese restaurants. “It will come at a time they least expected. It may be this week, next week or the week after,” City clerk Sore said. He said HCC has ordinances to deliver services and improve social and economic livelihood of all city residents. He said HCC will enforce and monitor these ordinances. HCC will appreciate the efforts of public to report all offenders in the city for investigations and actions by the city council. “Together, with HCC, we can deliver a better city in the country,” Sore said. Meanwhile, many city residents calls for permanent closure of the restaurant and deport the owner while others want the owner to be prosecuted.",,,,,,,,,280,3.04
Solomon Star News,solomonstarnews,1.0005E+14,MEDIA_NEWS_COMPANY,AU,"Welcome to the Solomon Islands official news portal where we publish news, events and stories for ou",42137.275,17304,17719,2019-09-25 22:35:43 EDT,43733,0.941469907,Link,280,94,65,43,1,49,21,7,0,0,,-,0,0,0,N/A,https://www.facebook.com/894839290582361/posts/2566028296796777,"Most Caucus members who voted in support of the China switch did so because they were threatened by Prime Minister Manasseh Sogavare, according to the sacked minister Rick Hou. Read more...http://bit.ly/Iron-fist:=:http://www.solomonstarnews.com/index.php/news/national/item/21998-sogavare-rules-with-iron-fist-says-hou",https://bit.ly/Iron-fist,http://www.solomonstarnews.com/index.php/news/national/item/21998-sogavare-rules-with-iron-fist-says-hou,,"Sogavare rules with ‘iron fist’, says Hou - Solomon Star News",Solomon Star National News,,,,280,-1.07
SIBC News,SIBCOnline,1.00064E+14,MEDIA_NEWS_COMPANY,SB,"SIBC is a public service broadcaster which facilitates educational programs, recording and promotion",41551.42222,45074,63027,2022-02-07 02:01:36 EST,44599,0.084444444,Photo,279,184,34,12,19,26,4,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100063890896080/posts/322803543192673,"𝐏𝐑𝐂 𝐞𝐱𝐩𝐞𝐫𝐭 𝐭𝐞𝐚𝐦 𝐡𝐞𝐫𝐞 𝐟𝐨𝐫 𝐟𝐞𝐚𝐬𝐢𝐛𝐢𝐥𝐢𝐭𝐲 𝐬𝐭𝐮𝐝𝐢𝐞𝐬 Upon invitation by the Government of Solomon Islands, in the context of surging cases of COVID-19 in the country, an expert team of four from the People’s Republic of China have arrived in Honiara. Read More➡ https://www.sibconline.com.sb/prc-expert-team-here-for-feasibility-studies/",https://www.facebook.com/photo.php?fbid=322803086526052&set=a.312578114215216&type=3,,,,,,,,279,-1.71
EMTV Online,EMTVonline,8.74725E+14,MEDIA_NEWS_COMPANY,PG,"Tweet us: https://twitter.com/EMTVOnline
Insta https://instagram.com/emtvonline/
",41927.95139,89162,90313,2019-03-14 02:49:37 EDT,43538,0.117789352,Link,279,137,26,15,1,10,1,89,0,0,,-,0,0,0,N/A,https://www.facebook.com/874724655878768/posts/2752629791421569,"Following the story of the student who passed away in a state prison in China a month back, the body of the Late Tyson Kulara was finally repatriated back to PNG earlier this week, with the help of the Department of Foreign Affairs and the PNG Embassy to China.",https://emtv.com.pg/body-of-student-repatriated-from-china/,,,Body of student repatriated from China – EMTV Online,"International News News Bulletin  Body of student repatriated from China 14/03/2019 Annette Kora 1 Views 0 Comments By Annette Kora – EMTV News, Port Moresby Following the story of the student who passed away in a state prison in China a month back, the body of the Late Tyson Kulara was finally...",,,,279,2.91
Fiji Sun,fijisun,7.76984E+14,MEDIA_NEWS_COMPANY,FJ,"Bringing you the best and latest in Fiji's current affairs, sports, events, analysis and business news!! 

",41897.92014,197551,204870,2020-03-26 22:15:15 EDT,43916,0.927256944,Link,279,214,9,35,4,16,1,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/776984482353833/posts/2985930538125872,"No new confirmed cases of the novel coronavirus disease (COVID-19) were reported Thursday in Wuhan, the former hardest-hit city in central China's Hubei Province.",https://fijisun.com.fj/?p=502093,https://fijisun.com.fj/2020/03/27/chinas-wuhan-reports-zero-increase-in-covid-19-cases/,,China’s Wuhan Reports Zero Increase In COVID-19 Cases,"No new confirmed cases of the novel coronavirus disease (COVID-19) were reported Thursday in Wuhan, the former hardest-hit city in central China's Hubei Province....",,,,279,-1.67
